lat,lon,rmse,sse
4.0,-90.0,8.58498088927075,1252.9322467754475
2.0,-90.0,6.513404258490326,721.2153955868384
-50.0,-74.0,6.247566324333796,663.5454446081449
4.0,-88.0,5.897033562319832,591.1750821971509
6.0,-84.0,5.851721736233997,582.1250037313283
2.0,-28.0,5.491138577897257,512.5942489884156
-12.0,-74.0,5.384522885891716,492.8824740477581
2.0,-32.0,5.243597241582323,467.4203045428058
2.0,-36.0,5.11332206806617,444.4830637201323
6.0,-90.0,5.09940039966658,442.06603541403456
2.0,-34.0,5.068500135133597,436.7247915374379
4.0,-32.0,4.9931206471274185,423.83131454509225
-48.0,-74.0,4.944186955545607,415.56473907358486
4.0,-78.0,4.938725090516526,414.64709383485683
6.0,-78.0,4.918843557079531,411.31537296338774
6.0,-32.0,4.651565584665981,367.83006060363243
6.0,-28.0,4.591584165238348,358.40496748994804
4.0,-28.0,4.573823672372498,355.63767076123577
6.0,-82.0,4.56671819308676,354.5335559361831
8.0,-72.0,4.4457334143706175,335.99727505807425
-12.0,-44.0,4.42471267273876,332.82739801701473
4.0,-34.0,4.391647624655546,327.87167060542583
2.0,-84.0,4.370328937537004,324.69617537864644
2.0,-38.0,4.208248287661402,301.05901206028705
-42.0,-72.0,4.184197351130172,297.62762704448073
2.0,-86.0,4.1767153914359225,296.5641748379814
-46.0,-74.0,4.175139187470442,296.3403829907729
-34.0,-70.0,4.14651392716032,292.29082171828645
-2.0,-80.0,4.134053472656452,290.5367679513089
-52.0,-74.0,4.0756635019107295,282.3875606737229
4.0,-30.0,4.063694151814843,280.7313727114007
-2.0,-50.0,4.004963152441174,272.67540749099635
2.0,-88.0,3.9948969385973783,271.30642635025
2.0,-78.0,3.9938955948967707,271.17043438990913
-32.0,-58.0,3.9585278832737787,266.3890310451517
6.0,-36.0,3.9574502273248764,266.2440091298132
6.0,-88.0,3.9302982963289455,262.6031598681456
-26.0,-54.0,3.927290684477893,262.20140604657627
4.0,-84.0,3.9227023249690283,261.58909001539615
-4.0,-34.0,3.912706782937033,260.25766427710494
-2.0,-56.0,3.912153975639199,260.1841283948631
2.0,-42.0,3.8680667256945833,254.35298330523545
2.0,-30.0,3.8653820199033926,254.00002871647132
-12.0,-46.0,3.8431598728592906,251.08792274204924
6.0,-38.0,3.841297361342275,250.84461211033715
4.0,-86.0,3.830743133101558,249.46808018068054
8.0,-88.0,3.8240842867284757,248.60155074406183
2.0,-26.0,3.801753511481585,245.70660595506354
-10.0,-48.0,3.785210573332281,243.57292443593042
-16.0,-50.0,3.7710344954231285,241.7519198164099
-14.0,-50.0,3.7488492316909183,238.915799553143
2.0,-40.0,3.7189253095693706,235.11689278864588
4.0,-40.0,3.708772948810067,233.83494535903043
-14.0,-46.0,3.690897006627692,231.58625213006536
-32.0,-56.0,3.663021753833841,228.10138227401916
4.0,-26.0,3.6465944267724577,226.06006552725518
-14.0,-48.0,3.637878521796713,224.98072236894728
2.0,-44.0,3.5410304491259343,213.16124290782926
6.0,-30.0,3.529881317208976,211.82105593087658
2.0,-56.0,3.521390470330182,210.8032443570478
2.0,-80.0,3.508693593296654,209.28582243789674
-28.0,-54.0,3.4934516926801633,207.47148039452827
-12.0,-52.0,3.4817608469365022,206.08519611941983
