lat,rmse
-60.0,0.48478436246909307
-59.0,0.5192832871521901
-58.0,0.5801099906112397
-57.0,0.6073845543956344
-56.0,0.6728752432011095
-55.0,0.7558035428506572
-54.0,0.7218372752132701
-53.0,0.7658305536729971
-52.0,0.7573946687363388
-51.0,0.8596845286477315
-50.0,0.9019397451592509
-49.0,0.918792537672575
-48.0,0.922535021045439
-47.0,0.9507583862814054
-46.0,0.9632298611449917
-45.0,0.9874036082270233
-44.0,1.047800471483006
-43.0,1.0441959504302147
-42.0,1.1646885122665698
-41.0,1.2107532011214097
-40.0,1.2718517038587767
-39.0,1.4440908298997035
-38.0,1.3692417695708072
-37.0,1.3320550470202583
-36.0,1.2867202506861235
-35.0,1.3001269308208148
-34.0,1.2943576987062582
-33.0,1.3492891337568957
-32.0,1.372468382381961
-31.0,1.4667440179996922
-30.0,1.5251893081757117
-29.0,1.6760030069517058
-28.0,1.7530276585233036
-27.0,1.743606975056606
-26.0,1.6623867253463689
-25.0,1.6209340421248357
-24.0,1.5608292193939917
-23.0,1.5578550160106361
-22.0,1.474389985881439
-21.0,1.584010324876321
-20.0,1.7589597696889034
-19.0,1.7756854143042575
-18.0,1.6699931545228859
-17.0,1.6685303641513611
-16.0,1.6498793378246779
-15.0,1.6716725246254125
-14.0,1.664440726129706
-13.0,1.8864067488660266
-12.0,1.6728757236880796
-11.0,1.5369613542265905
-10.0,1.5142097958092933
-9.0,1.590765858042379
-8.0,1.6127146449562089
-7.0,1.624663902752949
-6.0,1.651348658381475
-5.0,1.8393625338090691
-4.0,1.9527069387290028
-3.0,2.075518952204569
-2.0,2.6599102462778643
-1.0,2.7438164825312246
0.0,3.05139875754279
1.0,3.453170358195786
2.0,3.20141626821257
3.0,3.4700227804293284
4.0,3.2207621428739137
5.0,3.5522074377956825
6.0,3.605665571954824
7.0,3.3464174504726634
8.0,2.822522742046493
9.0,2.8145043302015056
10.0,2.453049077377756
11.0,1.9599373889453418
12.0,1.5078256045871807
13.0,1.4047837885626082
14.0,1.2668015572632065
15.0,1.1215335404592723
