lon,rmse
-90.0,2.350821121311157
-88.0,1.8034173157289561
-86.0,1.432813040989173
-84.0,1.7207222753173284
-82.0,1.4152499760754929
-80.0,1.7270236065366993
-78.0,1.82730046136981
-76.0,1.4780892765139921
-74.0,2.4383975701309932
-72.0,2.095367614730842
-70.0,1.6171230557279124
-68.0,1.6798767097451535
-66.0,1.5147705191111942
-64.0,1.5696738240403725
-62.0,1.5744057567829877
-60.0,1.877570392196605
-58.0,2.1643428570654097
-56.0,2.3754309319676157
-54.0,2.3309656135531083
-52.0,2.242578151410939
-50.0,2.3546521262116653
-48.0,2.2360886833582057
-46.0,2.209988781929174
-44.0,2.2278515606468523
-42.0,2.1569430282603537
-40.0,2.1232429442785974
-38.0,2.1348613572397452
-36.0,1.9749979010033203
-34.0,2.019386573609548
-32.0,1.977567574342884
-30.0,1.781626265306213
-28.0,1.8980317295524087
-26.0,1.6280362253820726
