target_month,rmse,sse
2022-01-01,1.7248678768421188,14923.448669890182
2022-02-01,1.8030129520154956,16306.29221696033
2022-03-01,2.709268021505159,36818.10819315001
2022-04-01,1.8362951349291894,16913.850789984084
2022-05-01,1.7978591460218074,16213.204304814262
2022-06-01,1.8083226344125543,16402.47424264586
2022-07-01,1.4588019792673919,10674.565725007733
2022-08-01,1.1633062724952186,6788.059921871625
2022-09-01,1.4568895413725846,10646.596112976273
2022-10-01,1.5591557482484728,12193.728702838016
2022-11-01,2.5508919553054574,32639.361634492772
2022-12-01,1.624674114162654,13240.062941786706
