target_month,rmse,sse
2021-01-01,1.851008565008124,4296.495815497727
2021-02-01,2.0530700380178675,5285.731112582386
2021-03-01,1.8032260493358214,4077.5367279941056
2021-04-01,2.002312939762758,5027.608414361688
2021-05-01,1.9451640848220983,4744.713799369766
2021-06-01,1.650285173666222,3415.195207645881
2021-07-01,1.516790388286631,2885.0189648263804
2021-08-01,1.3391061117077494,2248.679293729961
2021-09-01,1.3091079598505737,2149.059617782341
2021-10-01,1.551424884043973,3018.2766402218926
2021-11-01,1.892204174369603,4489.867543427195
2021-12-01,2.3506391352083007,6928.982447341926
2022-01-01,1.6213082721223069,3296.3152036182846
2022-02-01,1.8358309519135474,4226.325206140767
2022-03-01,2.7499099953160178,9482.754247853032
2022-04-01,1.8101297300367996,4108.818328012123
2022-05-01,1.7156133528991848,3690.934787514063
2022-06-01,1.7013396799017155,3629.774109835722
2022-07-01,1.4550427417172378,2654.905322800916
2022-08-01,1.0840396345232253,1473.6279792384291
2022-09-01,1.5067677584123707,2847.0177435499645
2022-10-01,1.4465586965174977,2624.035206337884
2022-11-01,2.5165953138404116,7941.897974948974
2022-12-01,1.6755408418708964,3520.5261394229005
