month,lat,lon,observed,predicted,squared_error
2015-07-01,4.0,-90.0,37.0121,13.6681,544.9423295883789
2015-12-01,2.0,-90.0,25.470734,4.1502113,454.56467150083336
2016-05-01,6.0,-84.0,32.9113,13.689074,369.4940145516339
2016-03-01,2.0,-28.0,26.018143,7.3574057,348.2231067886469
2015-01-01,-12.0,-74.0,29.960632,11.38853,344.92299300483955
2016-03-01,-2.0,-50.0,23.633957,6.264559,301.6959909491161
2016-04-01,-4.0,-34.0,23.5672,6.3103294,297.79957150785776
2016-01-01,-12.0,-44.0,20.175934,3.9179358,264.3224986316111
2015-10-01,8.0,-88.0,24.61052,8.622264,255.62431395865224
2015-04-01,-2.0,-80.0,20.841599,5.1869698,245.0674014149845
2016-05-01,-50.0,-74.0,1.1425018,16.527905,236.7106156086229
2016-03-01,8.0,-72.0,23.675919,8.820551,220.68194832929657
2016-03-01,-6.0,-90.0,19.407272,4.9420376,209.2430165597798
2015-12-01,2.0,-84.0,20.044327,5.680014,206.33347787170555
2016-03-01,2.0,-40.0,22.350311,7.9876857,206.28501409439218
2015-08-01,6.0,-82.0,30.406952,16.197126,201.9191411879765
2015-10-01,6.0,-90.0,28.650284,14.740429,193.48406303070078
2016-03-01,-2.0,-56.0,20.89119,7.0191183,192.4343612138191
2015-01-01,2.0,-32.0,24.360657,10.5539465,190.62524774037684
2016-03-01,2.0,-38.0,21.70372,7.955067,189.02545752785613
2016-03-01,2.0,-42.0,20.72525,7.231144,182.0909046393499
2016-01-01,-12.0,-40.0,15.4953,2.1023507,179.37109848312525
2016-01-01,-50.0,-74.0,9.4947815,22.538488,170.13828953451957
2015-06-01,4.0,-32.0,20.76912,7.7312226,169.986748616657
2016-05-01,6.0,-36.0,23.220062,10.405112,164.22294322874313
2015-01-01,2.0,-34.0,23.55194,10.738263,164.19033844906608
2015-05-01,2.0,-56.0,19.870758,7.200871,160.52603826234213
2016-04-01,-34.0,-70.0,14.976501,2.3341343,159.82944651209215
2016-04-01,-2.0,-38.0,18.907547,6.348221,157.73667389154434
2015-01-01,2.0,-36.0,23.68164,11.167629,156.60048089527118
