month,lat,lon,observed,predicted,squared_error
1998-03-01,-6.0,-80.0,40.63034,6.6141806,1157.0991419137872
1997-12-01,-2.0,-80.0,34.851074,6.1349206,824.6174788235569
1998-02-01,-6.0,-80.0,32.705307,9.936916,518.3996130422602
1998-01-01,-6.0,-80.0,28.549194,5.8453307,515.4654233099811
1997-07-01,2.0,-84.0,20.79773,2.8848016,320.87298473187644
1998-03-01,-2.0,-80.0,31.126022,16.185701,223.2131906456234
1998-01-01,-2.0,-80.0,32.360077,17.701672,214.86884605501837
1998-01-01,-4.0,-86.0,17.055511,2.5929377,209.16603995748125
1997-05-01,6.0,-30.0,24.085999,9.777157,204.7429509479698
1998-02-01,-6.0,-90.0,22.813797,8.512731,204.52050013775533
1998-04-01,-28.0,-54.0,19.105911,4.80606,204.48575056376376
1997-06-01,4.0,-78.0,18.154144,31.99249,191.49983333715136
1997-10-01,-28.0,-54.0,20.084381,6.495367,184.66130294200048
1997-06-01,-34.0,-70.0,22.5811,9.0209875,183.8766633031637
1998-01-01,-30.0,-60.0,18.688202,5.133199,183.73809790859946
1998-04-01,-2.0,-80.0,30.347824,16.829914,182.73389086710813
1998-04-01,4.0,-26.0,22.27211,9.19698,170.95901167639477
1997-11-01,-2.0,-80.0,15.773773,2.8623474,166.7049169360567
1998-03-01,-4.0,-80.0,27.370453,14.613898,162.72968535403288
1998-02-01,-8.0,-88.0,15.3980255,2.6826694,161.68028104293404
1998-01-01,-4.0,-90.0,15.449524,2.7657435,160.8782860407792
1998-01-01,-4.0,-88.0,15.392303,2.7220037,160.5364962223303
1997-12-01,0.0,-80.0,16.094208,3.669091,154.38352693252506
1997-12-01,4.0,-78.0,8.899689,21.27868,153.23944493374802
1997-10-01,4.0,-82.0,24.244308,12.117234,147.06592966220433
1997-12-01,4.0,-82.0,2.6397705,14.758983,146.87530315061395
1997-05-01,6.0,-32.0,20.320892,8.240075,145.94614476575316
1997-07-01,8.0,-46.0,20.273209,8.192636,145.94024598882334
1997-05-01,6.0,-28.0,22.064209,10.119129,142.68493151119037
1998-01-01,-6.0,-84.0,12.893677,0.98276407,141.86984116947352
