lat,rmse
-60.0,0.5274550635792336
-59.0,0.5417494502424242
-58.0,0.5828435792832598
-57.0,0.6082605804510648
-56.0,0.6573130638669277
-55.0,0.738103744855694
-54.0,0.7046885710798217
-53.0,0.7411272924694124
-52.0,0.7256039349357207
-51.0,0.8355636457133235
-50.0,0.8716648255060477
-49.0,0.8897101191266963
-48.0,0.8954276380537833
-47.0,0.9271762740916786
-46.0,0.9630311279796805
-45.0,0.992554992752997
-44.0,1.0611286164413563
-43.0,1.069178421361039
-42.0,1.176732724448864
-41.0,1.1938428609620326
-40.0,1.2599079327147864
-39.0,1.4391556081349435
-38.0,1.3578719685746028
-37.0,1.319073582615951
-36.0,1.265278262516898
-35.0,1.2668496082275162
-34.0,1.282775115799581
-33.0,1.3249360456526715
-32.0,1.3211866141398398
-31.0,1.4146004095249634
-30.0,1.4996249450590655
-29.0,1.671280174771884
-28.0,1.7466893335618865
-27.0,1.752582032710246
-26.0,1.659603756721628
-25.0,1.6433373546611312
-24.0,1.5815845116931857
-23.0,1.5985042400358385
-22.0,1.4973622213429925
-21.0,1.6196647429684625
-20.0,1.7742655801677993
-19.0,1.8029731012569772
-18.0,1.7080122360845678
-17.0,1.7412520014663622
-16.0,1.6293436870833877
-15.0,1.6345897250314831
-14.0,1.5928821570304663
-13.0,1.8308578631070178
-12.0,1.6216519852783515
-11.0,1.4746733228061748
-10.0,1.459874206182831
-9.0,1.549417071885143
-8.0,1.5909603294081196
-7.0,1.5590371232192506
-6.0,1.5728880845001654
-5.0,1.7349270027179822
-4.0,1.9328529331747064
-3.0,2.146996008553686
-2.0,2.8341687676617933
-1.0,2.961975805337289
0.0,3.3210309069830735
1.0,3.6320112854303783
2.0,3.137567692519525
3.0,3.2825434127213433
4.0,3.4401867439802305
5.0,3.6724252874958996
6.0,3.594808868223469
7.0,3.525254037816422
8.0,2.9419978154293775
9.0,2.853079986415025
10.0,2.5131477032346745
11.0,2.0352367996415266
12.0,1.5494167035101576
13.0,1.4436937795961284
14.0,1.2544713510953256
15.0,1.0395548167532518
