lat,lon,rmse,sse
4.0,-90.0,9.028494597565967,1385.7331498707235
2.0,-90.0,6.651909931142482,752.2143974445437
-50.0,-74.0,6.310158710103769,676.9077500938738
-12.0,-74.0,5.890656036097513,589.897085105405
6.0,-84.0,5.797938754755966,571.4735946663199
4.0,-88.0,5.7251942966372305,557.2234454822069
6.0,-78.0,5.692888507812605,550.9526525605422
2.0,-32.0,5.5723488397727445,527.8682170659831
2.0,-28.0,5.531942264081059,520.2405486231467
4.0,-78.0,5.496847443076578,513.6606408117777
2.0,-34.0,5.462384133241966,507.239887124591
2.0,-36.0,5.384084799628924,492.8022752031188
6.0,-90.0,5.080500950609652,438.79532845547476
-48.0,-74.0,4.696283691429727,374.9363686766101
6.0,-28.0,4.655498326832037,368.4522994093102
4.0,-32.0,4.58030827755392,356.6468065962922
-12.0,-44.0,4.452901122274399,337.08158288079426
6.0,-82.0,4.439064820837942,334.9900402212168
2.0,-38.0,4.403791784528869,329.6874953852274
8.0,-72.0,4.375572460558432,325.47578407915535
2.0,-84.0,4.34838944323148,321.4443427501187
2.0,-86.0,4.316827881715189,316.79505032601196
6.0,-32.0,4.295866918570526,313.7260338951666
2.0,-78.0,4.292683479668975,313.26123476259
2.0,-88.0,4.285751081108357,312.2502595967646
4.0,-34.0,4.247230026014158,306.66236919589585
-42.0,-72.0,4.231945003488824,304.4590947134184
-2.0,-80.0,4.183972550259413,297.5956471225124
-52.0,-74.0,4.160306438639414,294.2385442775376
-34.0,-70.0,4.14776901935957,292.4677932453039
2.0,-42.0,4.140597133910428,291.4572586309033
2.0,-40.0,4.136176903077033,290.8353093503145
4.0,-84.0,4.135290453065316,290.7106612306236
4.0,-28.0,4.08468795592256,283.63948685339994
-46.0,-74.0,4.021297111211296,274.90411776281735
-2.0,-56.0,3.975297033014538,268.6507705118012
2.0,-30.0,3.970577818505539,268.0132996177395
6.0,-36.0,3.9704867313211416,268.00100302115317
-16.0,-50.0,3.941489502312546,264.10077144628
4.0,-80.0,3.913199049837009,260.32315566196957
-12.0,-46.0,3.9121736815602994,260.1867495497821
-10.0,-48.0,3.8524381377797092,252.30175329213313
-32.0,-58.0,3.846583213394348,251.5354410986422
2.0,-26.0,3.827488857330199,249.04440620077617
-14.0,-50.0,3.8020719934571345,245.74777453832883
2.0,-80.0,3.753622316959263,239.52456847236863
4.0,-50.0,3.7387206048133472,237.62653993454998
-14.0,-46.0,3.719152426518388,235.14561111851944
-4.0,-34.0,3.706976874867861,233.60851836368656
4.0,-86.0,3.6860919397029277,230.98365439502913
-14.0,-48.0,3.6773208641581405,229.88570854553717
-2.0,-50.0,3.662564123630915,228.04439131504094
-26.0,-54.0,3.641705127580639,225.454276016201
4.0,-30.0,3.626725891098356,223.6033917157738
8.0,-88.0,3.61915257437424,222.6705110621947
6.0,-38.0,3.6144900563248896,222.09715224361554
4.0,-36.0,3.5945402712746635,219.65223595086064
2.0,-44.0,3.5754473622200953,217.32500528011286
-12.0,-52.0,3.5634103446846,215.86418583828873
-32.0,-56.0,3.5410452914365926,213.1630298520895
-16.0,-46.0,3.533917581617147,212.30574905226734
-16.0,-68.0,3.5290927284190587,211.72642325826473
-12.0,-40.0,3.4761312044718244,205.41929856194653
-18.0,-46.0,3.466687464206608,204.30467356628316
6.0,-88.0,3.456262324268484,203.07773732068227
4.0,-26.0,3.4295808478203944,199.95442145951972
8.0,-30.0,3.4190593378968286,198.72943485301153
4.0,-40.0,3.4058023938160296,197.19132907729096
6.0,-30.0,3.404998850386014,197.0982919092113
4.0,-82.0,3.39695358502554,196.16799219990378
-40.0,-72.0,3.385074750640699,194.79842814622822
2.0,-56.0,3.362537926409465,192.21324221121506
10.0,-72.0,3.3420521445561664,189.87831312785198
-12.0,-50.0,3.3349918812788153,189.07690441932542
-16.0,-44.0,3.3312907759802353,188.65746998022695
-16.0,-52.0,3.3260176108960136,188.06068351583727
