target_month,rmse,sse
2015-01-01,2.1023375479103663,5542.458249353631
2015-02-01,1.486792748700939,2772.0330576974757
2015-03-01,1.6580069508925284,3447.229759706756
2015-04-01,1.559486671631251,3049.7263434603788
2015-05-01,1.9389344125980423,4714.371187071572
2015-06-01,1.6879085516351242,3572.6902394684603
2015-07-01,1.861563859807985,4345.636685195577
2015-08-01,1.6509698088276334,3418.029442314082
2015-09-01,1.62799601240223,3323.5652545625426
2015-10-01,1.5455991334276002,2995.6513582901953
2015-11-01,1.5786388541993321,3125.0941925126763
2015-12-01,2.1437285765797958,5762.847551396226
2016-01-01,2.5318426294628846,8038.42478385838
2016-02-01,1.7490801828474403,3836.3389834811624
2016-03-01,2.099496231313914,5527.487069327864
2016-04-01,2.159015897017884,5845.332453044226
2016-05-01,1.9930128700803496,4981.013776583613
