month,lat,lon,observed,predicted,squared_error
2022-06-01,7.0,-82.0,41.27884,14.906088,695.5220077539307
2022-03-01,1.0,-48.0,34.226418,12.238309,483.4769213423069
2022-03-01,0.0,-48.0,36.1166,14.656684,460.5279996545587
2022-10-01,3.0,-77.0,34.772873,55.902374,446.4558269942645
2022-10-01,9.0,-84.0,49.776077,29.447824,413.237861590027
2022-03-01,0.0,-50.0,34.35421,14.562869,391.69717176775976
2022-03-01,2.0,-46.0,29.84047,10.085444,390.26100919365945
2022-03-01,1.0,-45.0,32.07779,12.501205,383.2426357178483
2022-03-01,2.0,-45.0,28.925896,9.530025,376.1998181489844
2022-03-01,0.0,-42.0,29.129028,10.070214,363.2383929454818
2022-11-01,-18.0,-37.0,23.586273,4.532831,363.0336520985329
2022-03-01,-1.0,-48.0,32.92179,13.876806,362.7114466989915
2022-11-01,-19.0,-37.0,23.797989,4.816537,360.29551958110915
2022-03-01,0.0,-41.0,28.686523,9.967387,350.40606150047915
2022-03-01,1.0,-40.0,29.460907,10.879504,345.268529221511
2022-04-01,3.0,-78.0,39.125443,20.68995,339.86734912850443
2022-10-01,7.0,-78.0,38.47885,20.221565,333.328494706715
2022-03-01,1.0,-47.0,30.529976,12.462971,326.416675360073
2022-11-01,-20.0,-38.0,22.846222,5.3054533,307.6785638979718
2022-06-01,8.0,-84.0,30.519485,13.295266,296.67373125940594
2022-11-01,-19.0,-38.0,22.117615,5.1328855,288.48102905487417
2022-02-01,4.0,-28.0,23.387909,6.474499,286.0634280159686
2022-11-01,6.0,-40.0,31.349182,14.496005,284.0295773735934
2022-03-01,1.0,-46.0,29.314041,12.640794,277.99717677215904
2022-02-01,5.0,-53.0,23.513794,6.901968,275.9527611603007
2022-03-01,0.0,-49.0,32.85885,16.400879,270.8647655114182
2022-03-01,1.0,-49.0,28.40805,12.102106,265.88382417001776
2022-07-01,7.0,-77.0,36.203384,20.042614,261.17050044705684
2022-03-01,-2.0,-52.0,26.824951,10.667117,261.0756012855645
2022-06-01,7.0,-83.0,29.569626,13.574567,255.84191284108329
