lon,rmse
-90.0,2.3401872508502706
-88.0,1.7480109467714884
-86.0,1.4473111049349228
-84.0,1.6939939567971645
-82.0,1.4117499166287633
-80.0,1.54149310983008
-78.0,1.8180302812559697
-76.0,1.5063311403060038
-74.0,2.3655689581381067
-72.0,1.9525656189674638
-70.0,1.5436618632817118
-68.0,1.515482256866167
-66.0,1.382447977793089
-64.0,1.4072588666400794
-62.0,1.4629217606613993
-60.0,1.7463265355546735
-58.0,1.9201309969489115
-56.0,2.176222721639554
-54.0,2.125878897901954
-52.0,2.0152891285574612
-50.0,2.200528779749115
-48.0,2.0422174130198947
-46.0,2.1111663509645417
-44.0,2.1654477197501576
-42.0,2.135055029867626
-40.0,2.071090568603224
-38.0,2.041208651575794
-36.0,1.9047740710305072
-34.0,1.9495837827209208
-32.0,1.967451686607178
-30.0,1.7510808592898686
-28.0,1.8526378168492976
-26.0,1.5580273572678578
