lon,rmse
-90.0,1.5929062667826133
-89.0,1.5098559581374065
-88.0,1.5075688573605222
-87.0,1.4679393740595212
-86.0,1.5650742017963948
-85.0,1.5030414393295206
-84.0,1.7982965010167278
-83.0,1.563166070880343
-82.0,1.5795747168665122
-81.0,1.3049577629393583
-80.0,1.3754470798685332
-79.0,1.8699992060757908
-78.0,2.0671766468137247
-77.0,2.0986725425033153
-76.0,1.2224028015814206
-75.0,1.4899624837717433
-74.0,1.669173937962438
-73.0,1.6986644935696757
-72.0,1.740834798845753
-71.0,1.62856717815177
-70.0,1.2578700946497985
-69.0,1.3242565233988801
-68.0,1.4128598325365236
-67.0,1.4525875907443428
-66.0,1.6017943723761565
-65.0,1.642963331833626
-64.0,1.597642980838246
-63.0,1.5667992718104768
-62.0,1.6949432392574253
-61.0,1.7827241732642922
-60.0,1.6936573749044703
-59.0,1.7400839115304152
-58.0,1.854771268202309
-57.0,1.9374887917190673
-56.0,1.9979375360662655
-55.0,1.992015189490655
-54.0,2.0222712743023203
-53.0,2.0322107542350762
-52.0,2.037277596266687
-51.0,2.0918268581538544
-50.0,2.211757491055571
-49.0,2.3641420759393754
-48.0,2.355969042840318
-47.0,2.1427004508118523
-46.0,2.128574833806446
-45.0,2.1577954172246314
-44.0,2.0568786536570856
-43.0,2.15551249424332
-42.0,2.254732146501987
-41.0,2.2357978082036314
-40.0,2.283980895172665
-39.0,2.2260422493773855
-38.0,2.1609064446908497
-37.0,2.262934211812628
-36.0,2.1858747183105356
-35.0,1.9911294462167302
-34.0,1.8777899839117183
-33.0,1.8301699856500002
-32.0,1.9278607977805504
-31.0,1.8518020176438068
-30.0,1.6933485230386494
-29.0,1.7541940122744655
-28.0,1.771565436901656
-27.0,1.6425504990375421
-26.0,1.6302576499727344
-25.0,1.5289860431254791
