target_month,rmse,sse
2022-01-01,1.7770907244957699,3960.1965096334816
2022-02-01,1.766211482722234,3911.85676413164
2022-03-01,2.5263299188340405,8003.457944930196
2022-04-01,1.8185911099031273,4147.321125773436
2022-05-01,1.5728125937621615,3102.06927669146
2022-06-01,1.6775892886586132,3529.139500063328
2022-07-01,1.4246338100712679,2545.0951919689146
2022-08-01,1.1598412156088802,1686.9204833630563
2022-09-01,1.4900478108844093,2784.1840683166615
2022-10-01,1.4539387961094117,2650.8782806314352
2022-11-01,2.291233751215218,6583.18913679553
2022-12-01,1.8405589218787368,4248.122059713903
