lon,rmse
-90.0,1.60944521165206
-89.0,1.5223988939709683
-88.0,1.5292487049864798
-87.0,1.4739653788482194
-86.0,1.5843870206698443
-85.0,1.5298530549884797
-84.0,1.830977822191227
-83.0,1.567683282028535
-82.0,1.5954118841737681
-81.0,1.3105283814891528
-80.0,1.3621682144443008
-79.0,1.872424533134675
-78.0,2.0551983165515284
-77.0,2.0931602370719387
-76.0,1.220028816290903
-75.0,1.486691478560152
-74.0,1.674300389753577
-73.0,1.7110121970322074
-72.0,1.7552593524548223
-71.0,1.6494678775732263
-70.0,1.2611543036559612
-69.0,1.337046200161892
-68.0,1.4319570538458095
-67.0,1.4445795373812031
-66.0,1.6075304099116356
-65.0,1.6505884594576858
-64.0,1.609161800989138
-63.0,1.568717234115896
-62.0,1.694570093736919
-61.0,1.7830774019378146
-60.0,1.6970444141681682
-59.0,1.752077972706894
-58.0,1.8771076297382188
-57.0,1.939118107555978
-56.0,2.0050081193592018
-55.0,2.000738989699918
-54.0,2.0135947584404192
-53.0,2.0355537833359376
-52.0,2.0319409141273153
-51.0,2.08642358550589
-50.0,2.207299458818732
-49.0,2.3649084766670394
-48.0,2.3867107472335736
-47.0,2.1938749505336648
-46.0,2.1698106606988468
-45.0,2.189101190022028
-44.0,2.0790383806484405
-43.0,2.148385054252415
-42.0,2.2383072087499594
-41.0,2.210763951317041
-40.0,2.256744867732586
-39.0,2.2067346741308485
-38.0,2.1363425584024034
-37.0,2.2388907074194067
-36.0,2.1543389840189033
-35.0,1.9739010071958851
-34.0,1.8588416882877434
-33.0,1.8145832446495902
-32.0,1.9251625633861444
-31.0,1.8533921747330013
-30.0,1.6793959071964781
-29.0,1.7366528976556075
-28.0,1.7758964712350913
-27.0,1.6602677723712427
-26.0,1.634397742377016
-25.0,1.5245668854995862
