lat,rmse
-60.0,0.550434891311794
-58.0,0.5789234151135689
-56.0,0.636892759882056
-54.0,0.7341306582540985
-52.0,0.8054475094935661
-50.0,1.0934574055713813
-48.0,1.0201614838130733
-46.0,0.9980068788069256
-44.0,0.9931105554519689
-42.0,1.1970890732981103
-40.0,1.2154020783774018
-38.0,1.3821838254172396
-36.0,1.286499255937317
-34.0,1.3538726471699551
-32.0,1.3813508029610788
-30.0,1.5260637435596298
-28.0,1.722614744385551
-26.0,1.7043228312407168
-24.0,1.6709155266654419
-22.0,1.5604161479689258
-20.0,1.7164667802864697
-18.0,1.6656981391570396
-16.0,1.8717182261725835
-14.0,1.6967982913465813
-12.0,1.8027814885341022
-10.0,1.6533708321902671
-8.0,1.650877081701316
-6.0,1.5708544353282745
-4.0,1.9538643664703839
-2.0,2.400241386164939
0.0,2.835077278258036
2.0,3.108637615269319
4.0,3.7748892406502237
6.0,3.4816597228328057
8.0,2.7275313933846754
10.0,2.2888090738156377
12.0,1.6000166981578456
14.0,1.2905765608087498
