month,lat,lon,observed,predicted,squared_error
2015-07-01,4.0,-90.0,37.0121,12.253315,612.9974469468143
2015-12-01,2.0,-90.0,25.470734,5.01371,418.4898154140101
2016-05-01,6.0,-84.0,32.9113,13.28739,385.0978791654088
2015-01-01,-12.0,-74.0,29.960632,11.037464,358.08629405837564
2016-03-01,2.0,-28.0,26.018143,9.219097,282.2079318191536
2016-01-01,-12.0,-44.0,20.175934,3.8158333,267.65288862323047
2016-04-01,-4.0,-34.0,23.5672,7.910733,245.12494276680172
2015-05-01,6.0,-32.0,18.188477,3.207287,224.43603851624908
2016-03-01,-2.0,-50.0,23.633957,9.409739,202.32838819563403
2015-08-01,6.0,-82.0,30.406952,16.392002,196.41881785682926
2015-12-01,2.0,-84.0,20.044327,6.4864016,183.81733638782407
2016-01-01,-12.0,-40.0,15.4953,1.9622096,183.1445441824094
2016-03-01,8.0,-72.0,23.675919,10.263597,179.8903826219621
2015-10-01,8.0,-88.0,24.61052,11.311603,176.86118849780996
2016-05-01,-50.0,-74.0,1.1425018,14.288235,172.81029294281325
2015-04-01,-2.0,-80.0,20.841599,7.8050256,169.9522338425652
2015-12-01,2.0,-86.0,17.902374,5.128678,163.167320296154
2016-04-01,-34.0,-70.0,14.976501,2.257905,161.76269587251682
2016-03-01,-6.0,-90.0,19.407272,6.8234262,158.35318247278428
2015-01-01,2.0,-32.0,24.360657,12.035879,151.90014296709342
2015-06-01,4.0,-32.0,20.76912,8.524018,149.9424978888428
2016-01-01,-50.0,-74.0,9.4947815,21.5157,144.50246697717012
2015-06-01,4.0,-90.0,23.176193,11.209553,143.2004841959715
2016-04-01,-32.0,-58.0,15.384674,3.536177,140.38688476873637
2016-03-01,2.0,-42.0,20.72525,8.903603,139.75135301990667
2015-01-01,2.0,-36.0,23.68164,11.943827,137.7762763150713
2016-03-01,2.0,-38.0,21.70372,10.010338,136.73518875293666
2015-07-01,-26.0,-54.0,16.126633,4.4921575,135.36101390472345
2016-03-01,2.0,-40.0,22.350311,10.813941,133.08783917738856
2015-09-01,6.0,-84.0,26.145935,14.685605,131.33916392573974
