lon,rmse
-90.0,2.367222660811549
-88.0,1.7502563471414407
-86.0,1.4581017037672304
-84.0,1.6720366067798005
-82.0,1.3772228325355211
-80.0,1.5835236736851317
-78.0,1.8644110519511656
-76.0,1.4745419292825992
-74.0,2.3418273657069895
-72.0,1.949653216479643
-70.0,1.5220027794515936
-68.0,1.4825328313469004
-66.0,1.3388044346956973
-64.0,1.3609680690243342
-62.0,1.4519603273357862
-60.0,1.7158282519799897
-58.0,1.8851138125688027
-56.0,2.1510940903348197
-54.0,2.088369353623272
-52.0,1.9734561551247511
-50.0,2.1980922805618635
-48.0,2.0847095844443273
-46.0,2.1702511319541027
-44.0,2.1958691657084644
-42.0,2.176116714498384
-40.0,2.0830819178232085
-38.0,2.0208260891783647
-36.0,1.920562536685449
-34.0,1.9616908660672412
-32.0,1.9442869192977652
-30.0,1.7294389160310553
-28.0,1.8401966891522938
-26.0,1.5695703024573304
