lat,rmse
-60.0,0.523341221305924
-59.0,0.5392615161019876
-58.0,0.5810209657390258
-57.0,0.6066916607673295
-56.0,0.6567394520038808
-55.0,0.7349111490147229
-54.0,0.7044719108108334
-53.0,0.7386353820536562
-52.0,0.7300880729800472
-51.0,0.8391334670642865
-50.0,0.8820162870401559
-49.0,0.8959835159275272
-48.0,0.9016393420772505
-47.0,0.9326142642366052
-46.0,0.9617326136545404
-45.0,0.9854364107403144
-44.0,1.053144826030553
-43.0,1.0574933316837605
-42.0,1.166567630771447
-41.0,1.1839485827286504
-40.0,1.2487334990171515
-39.0,1.4340157553811657
-38.0,1.3547431968498567
-37.0,1.3134964226962467
-36.0,1.2613775957651423
-35.0,1.2639654282533532
-34.0,1.2785225351055807
-33.0,1.3237313544737803
-32.0,1.3227264782404586
-31.0,1.4070113341452457
-30.0,1.4959865432219444
-29.0,1.667665601034996
-28.0,1.7521717143707265
-27.0,1.751198358351809
-26.0,1.661778429099214
-25.0,1.6422644242750277
-24.0,1.5746730699961433
-23.0,1.5916825606662748
-22.0,1.4976997856321124
-21.0,1.6279512618645282
-20.0,1.792245137821488
-19.0,1.8196552935524042
-18.0,1.7313063406489453
-17.0,1.747340841872493
-16.0,1.6437319274706153
-15.0,1.653789732677112
-14.0,1.6318068483240347
-13.0,1.8433123824244104
-12.0,1.640336493222494
-11.0,1.4864056501032836
-10.0,1.471448385524355
-9.0,1.5478940623363597
-8.0,1.5822711755542478
-7.0,1.540142320289972
-6.0,1.5544187951338826
-5.0,1.7282259527878405
-4.0,1.9335076482891969
-3.0,2.167250763739452
-2.0,2.858604767172865
-1.0,3.019341840050419
0.0,3.3332503344460283
1.0,3.638638867628723
2.0,3.1765677726385486
3.0,3.2532120547401964
4.0,3.386889643157606
5.0,3.638749015088781
6.0,3.6146566140813046
7.0,3.490651409704806
8.0,2.8565779446885586
9.0,2.8074511794633095
10.0,2.489711070633567
11.0,2.022852452762708
12.0,1.5408441702070081
13.0,1.4177635133775537
14.0,1.2451935722725362
15.0,1.0459335943893606
