lat,rmse
-60.0,0.6213119635899264
-58.0,0.5966010633651614
-56.0,0.7337472577463151
-54.0,0.8539822786762189
-52.0,1.076588768376577
-50.0,1.3990394333229845
-48.0,1.2711305204240082
-46.0,1.1971462477920807
-44.0,1.2812983003098983
-42.0,1.3874120071642901
-40.0,1.3501533830541632
-38.0,1.3971170238874384
-36.0,1.6414656138237946
-34.0,1.930601971812096
-32.0,2.0192000409663784
-30.0,1.873556700880075
-28.0,1.8861813201727213
-26.0,1.7178000483131046
-24.0,1.6805171203682363
-22.0,1.585379753065468
-20.0,1.5210739370738993
-18.0,1.5690054430936722
-16.0,1.8750566601773315
-14.0,1.8098732361733558
-12.0,2.1958743554749995
-10.0,1.783324705762868
-8.0,1.778615495105108
-6.0,2.0075029619466145
-4.0,2.1061166441543793
-2.0,2.3508118845860477
0.0,2.260795066054836
2.0,3.5964053188337908
4.0,3.509366411976056
6.0,3.2726694617379577
8.0,2.4541463927186875
10.0,1.846428980372373
12.0,1.3367699962111115
14.0,1.192652343148502
