target_month,rmse,sse
2015-01-01,2.1387127518603215,5735.911662652316
2015-02-01,1.5597663266545763,3050.8202261819506
2015-03-01,1.975709991660316,4894.901183817594
2015-04-01,1.8502210402930268,4292.8406440205345
2015-05-01,1.8196832474557674,4152.303889823244
2015-06-01,1.8163454545259816,4137.084955962202
2015-07-01,1.9560120346056142,4797.782781720581
2015-08-01,1.7855068003389478,3997.7953057070104
2015-09-01,1.7602679813998332,3885.5733813921697
2015-10-01,1.7346596397153045,3773.341258334166
2015-11-01,1.7852682567548395,3996.7271667148852
2015-12-01,2.154409605217027,5820.416856802439
2016-01-01,2.43446236591623,7431.96519187231
2016-02-01,1.7273661140084642,3741.677289548177
2016-03-01,2.347998869409616,6913.425758199039
2016-04-01,2.192406997753796,6027.537148524965
2016-05-01,2.0802664300157603,5426.695558492547
