lon,rmse
-90.0,2.3086491949210886
-88.0,1.7731917976690428
-86.0,1.4377473484180752
-84.0,1.6635474118918632
-82.0,1.3740454457285347
-80.0,1.5026507230846209
-78.0,1.742717650559502
-76.0,1.4688145646210768
-74.0,2.3185378981483837
-72.0,1.9591483312053712
-70.0,1.5468051330016435
-68.0,1.5047153606844383
-66.0,1.3804317775397594
-64.0,1.3901983199499464
-62.0,1.451285156219502
-60.0,1.7441760811702816
-58.0,1.904771617973884
-56.0,2.1640276764578887
-54.0,2.111321351920038
-52.0,1.9952744807469371
-50.0,2.1896631609070094
-48.0,2.0461218187306436
-46.0,2.1192768578132335
-44.0,2.1605515168742526
-42.0,2.128009786559148
-40.0,2.0517083563013427
-38.0,2.022138829721318
-36.0,1.8745667963490225
-34.0,1.9456839515140696
-32.0,1.9513438526057274
-30.0,1.7441748286240824
-28.0,1.860009062207077
-26.0,1.5641435601627613
