target_month,rmse,sse
2015-01-01,2.162590266742111,5864.703013906874
2015-02-01,1.503674435430488,2835.340156940065
2015-03-01,1.6520348575698038,3422.4408399646054
2015-04-01,1.5592775875714375,3048.908630258663
2015-05-01,1.939122829110741,4715.287472358568
2015-06-01,1.6628844465711339,3467.541592040826
2015-07-01,1.8496995854589358,4290.4212497844865
2015-08-01,1.633456359181592,3345.8973153978804
2015-09-01,1.6419137071948413,3380.6342998303817
2015-10-01,1.531602337376594,2941.6403727012375
2015-11-01,1.5837434725336272,3145.3372070382616
2015-12-01,2.085796630582857,5455.5866705251
2016-01-01,2.447825368187272,7513.778687559007
2016-02-01,1.6951238288586923,3603.2997731363503
2016-03-01,2.0972616372794026,5515.726994505665
2016-04-01,2.1288547214648847,5683.156121079579
2016-05-01,1.958035384179231,4807.713817385178
