lat,lon,rmse,sse
4.0,-90.0,8.504569246057557,1229.5708670367958
2.0,-90.0,6.581948514601673,736.474786230742
-50.0,-74.0,6.2712636314861445,668.5887081052133
6.0,-84.0,5.8064214495002435,573.1470108366807
4.0,-88.0,5.68115085057113,548.6830747780662
-12.0,-74.0,5.51021231061951,516.1614750377476
2.0,-28.0,5.465146595866331,507.75306434325887
2.0,-32.0,5.3926687161043265,494.3748899880549
2.0,-36.0,5.211473461997506,461.7107459667726
2.0,-34.0,5.124905242624083,446.49911367988875
6.0,-90.0,5.121352173766931,445.8802174917036
4.0,-78.0,5.067196980673472,436.50024909608806
6.0,-78.0,4.953682236372514,417.16245088219404
4.0,-32.0,4.912251137426551,410.21359103152355
-48.0,-74.0,4.912194567700108,410.2041430060217
6.0,-82.0,4.663410080297906,369.7056908094101
6.0,-32.0,4.619907499642491,362.84027018929993
6.0,-28.0,4.578678526490394,356.3930498320523
2.0,-84.0,4.46144122228214,338.375782257932
4.0,-28.0,4.449470047824712,336.5623230103172
-12.0,-44.0,4.432393833559838,333.9839566282478
8.0,-72.0,4.392686339306012,328.02678568393605
4.0,-34.0,4.338931095111673,320.04749181815873
2.0,-38.0,4.283373198158018,311.9038612298736
2.0,-78.0,4.264620264326916,309.1787619814322
-46.0,-74.0,4.232442328079814,304.5306570288685
-42.0,-72.0,4.200159916520011,299.90283651380355
2.0,-86.0,4.182845101779056,297.4352834731097
-34.0,-70.0,4.164360371977783,294.812254230882
-52.0,-74.0,4.126874661838596,289.5286060669323
-2.0,-80.0,4.0948939683668675,285.0586624068449
2.0,-88.0,4.0671951668077115,281.21530092336815
-2.0,-56.0,4.010700038228163,273.4571515429376
4.0,-84.0,3.99580757920735,271.43012957086535
-32.0,-58.0,3.944266593837697,264.4730623754885
6.0,-36.0,3.9247429279181474,261.8613198541397
6.0,-88.0,3.8988556345221013,258.4182794003605
2.0,-42.0,3.887527947988514,256.91885028866034
8.0,-88.0,3.867345080461744,254.25808551331815
-2.0,-50.0,3.8653684150994083,253.99824073561788
-26.0,-54.0,3.8649112466062157,253.93816205043458
4.0,-30.0,3.8614676665265226,253.4858531737064
-12.0,-46.0,3.84804602815261,251.72678999127834
-4.0,-34.0,3.815279346270426,247.45806033132072
2.0,-30.0,3.8151600838126294,247.44258990699223
-16.0,-50.0,3.800167354939962,245.50162273437354
2.0,-40.0,3.7978957342942032,245.2082041456918
6.0,-38.0,3.7949967806972964,244.83400961354835
-14.0,-50.0,3.7736753697967975,242.09063854238693
4.0,-40.0,3.7718050138664356,241.85072206467572
2.0,-26.0,3.760643626747601,240.42148828575495
-10.0,-48.0,3.750268526116986,239.09673830572243
4.0,-86.0,3.7184208169401924,235.05310732152088
-14.0,-46.0,3.6908737270444965,231.58333077278468
-14.0,-48.0,3.678952272922976,230.08972704956722
-32.0,-56.0,3.642629507439516,225.56874538397386
4.0,-26.0,3.6222359307213954,223.0500833427546
2.0,-44.0,3.5604734509075886,215.50851030850248
6.0,-30.0,3.530496491188671,211.89489306302377
2.0,-80.0,3.5153000227136233,210.07468224473683
4.0,-50.0,3.5096868371565524,209.40432881346942
-16.0,-68.0,3.498119335663397,208.02626107121614
-12.0,-52.0,3.4964144721268955,207.8235407352728
-12.0,-40.0,3.4696717871458778,204.65657927877317
2.0,-56.0,3.46116272286303,203.6540057003226
4.0,-80.0,3.4488532978933333,202.20801419662524
-28.0,-54.0,3.4341988993966894,200.49327537049635
-16.0,-46.0,3.4288108068447776,199.86464033530407
-6.0,-90.0,3.4101945957593855,197.7002620760908
-4.0,-70.0,3.38398481646703,194.67300504734976
4.0,-82.0,3.355347827441929,191.39210373302762
4.0,-36.0,3.3450099982079404,190.21456209788846
-24.0,-54.0,3.33215364366549,188.75521438488443
-30.0,-60.0,3.329632552015706,188.46969983452465
8.0,-30.0,3.30391835939108,185.56990093386457
10.0,-72.0,3.3034804665468402,185.520714278561
-12.0,-50.0,3.2823688634081414,183.1570710430113
-28.0,-60.0,3.280613009111515,182.96116916437904
4.0,-38.0,3.2769229602643333,182.54980948762852
-16.0,-52.0,3.276366332705784,182.48779788349515
6.0,-34.0,3.267441218979452,181.49492603126077
-40.0,-72.0,3.2635337986774755,181.06109853687394
-30.0,-58.0,3.23831453911449,178.27357792208494
-24.0,-56.0,3.205889896418964,174.7214104753403
0.0,-32.0,3.1991416569903777,173.98662480534935
-2.0,-58.0,3.192914409828199,173.30994128430547
-16.0,-44.0,3.1926757477706458,173.28403331684845
4.0,-76.0,3.1901442048603688,173.00934081267133
4.0,-44.0,3.1778274887432025,171.67598831960277
-14.0,-44.0,3.174938282238648,171.36396263241647
-26.0,-56.0,3.17161489586686,171.00539781063742
-36.0,-52.0,3.1679163745982275,170.60680065960884
-10.0,-46.0,3.167186985585275,170.52824782823257
-18.0,-46.0,3.155234052539682,169.24353274720175
-44.0,-74.0,3.154969311806731,169.21513309351803
-12.0,-48.0,3.1487076492281703,168.54411762523583
-8.0,-54.0,3.147955621295886,168.46361809202224
-28.0,-36.0,3.1333872941719547,166.90797089973012
-10.0,-42.0,3.1180229353738484,165.27513943379495
-34.0,-40.0,3.108284581339939,164.2443616561252
-30.0,-56.0,3.1073452389097405,164.14510537417556
-4.0,-60.0,3.1064656448849393,164.05218964845682
-4.0,-68.0,3.1052300921014435,163.92171672316977
-44.0,-72.0,3.0928236173297052,162.61448477451086
-32.0,-60.0,3.085258327771378,161.81992213440486
-34.0,-42.0,3.072984337248684,160.5349565285875
6.0,-26.0,3.0717827488730944,160.40943735666383
-26.0,-58.0,3.0396157444276737,157.06748585413425
-20.0,-42.0,3.0338737372569002,156.47462751149158
0.0,-50.0,3.0186387130158403,154.9070545552048
-32.0,-46.0,3.0167442889011693,154.712683778503
8.0,-38.0,3.0157523479340993,154.61095780919055
-38.0,-72.0,3.013870729299841,154.41808513981601
-10.0,-44.0,3.0068247609352023,153.69691743054162
0.0,-54.0,2.9776890847812907,150.7327488556359
6.0,-56.0,2.975380062817953,150.49907080964763
-34.0,-56.0,2.9685332968646048,149.80722888809527
-2.0,-38.0,2.9682347166002536,149.7770946581268
4.0,-42.0,2.951191371118453,148.06201865238825
0.0,-34.0,2.948508053039663,147.7928955602756
6.0,-44.0,2.947017696161145,147.64352612527802
10.0,-28.0,2.946316708493047,147.5732964946701
-12.0,-42.0,2.939516570527109,146.89288036285876
-24.0,-58.0,2.939211887469266,146.86243083049095
4.0,-48.0,2.9307342992199583,146.0164600546131
-24.0,-52.0,2.9239274805108733,145.33898249187325
2.0,-54.0,2.9215282511199057,145.10056447555948
-24.0,-50.0,2.9180565164727104,144.75591516659046
