lon,rmse
-90.0,2.2221807929333517
-89.0,1.9052704439213708
-88.0,1.7503120181541485
-87.0,1.7546791460689761
-86.0,1.5091478180888707
-85.0,1.5643590394096623
-84.0,1.61613869965063
-83.0,1.4893794086424468
-82.0,1.458455894833232
-81.0,1.3530625128496412
-80.0,1.5095515837812254
-79.0,2.8420202926429607
-78.0,2.0391258481495314
-77.0,1.897644519997783
-76.0,1.5798474197281684
-75.0,1.9545446368299544
-74.0,2.365363899192584
-73.0,2.2959811455220906
-72.0,1.9641828982002367
-71.0,1.6112364451484922
-70.0,1.5387203762432369
-69.0,1.5085656307699031
-68.0,1.4945208177072742
-67.0,1.3977657483365546
-66.0,1.4540121075406174
-65.0,1.5020430974753103
-64.0,1.441615092335126
-63.0,1.403831485746648
-62.0,1.4621610267240104
-61.0,1.600717310654179
-60.0,1.7231809316506825
-59.0,1.8685786564169444
-58.0,1.8688636663411344
-57.0,2.027512335418963
-56.0,2.1189038920619696
-55.0,2.1104015717549425
-54.0,2.0681024980339395
-53.0,2.0119571947216643
-52.0,2.002311248568096
-51.0,2.141733561854757
-50.0,2.206452448650108
-49.0,2.091241554005084
-48.0,2.0537730499827322
-47.0,2.1616244634030397
-46.0,2.065861918092683
-45.0,2.139318971803303
-44.0,2.140098833921403
-43.0,2.1449194371738773
-42.0,2.130261064325326
-41.0,2.1247165532784105
-40.0,2.05668204699531
-39.0,2.090158698579121
-38.0,2.163514297508656
-37.0,2.1153621784614556
-36.0,1.9155483521205388
-35.0,1.9776674360893696
-34.0,1.9191954614448767
-33.0,1.8731254922053064
-32.0,1.8894311818893075
-31.0,1.766482388522252
-30.0,1.7409463677473123
-29.0,1.8085527581975094
-28.0,1.7301082264845733
-27.0,1.8162442123728872
-26.0,1.6425102819852488
-25.0,1.638257710789716
