target_month,rmse,sse
2022-01-01,1.7531167904721352,15416.267100873167
2022-02-01,1.8455069080784268,17083.973070790216
2022-03-01,2.705686830595745,36720.83798590039
2022-04-01,1.8678391482624594,17499.93658824966
2022-05-01,1.77897345969554,15874.368796630411
2022-06-01,1.7739312256108306,15784.509277876874
2022-07-01,1.441740698090857,10426.339062506062
2022-08-01,1.1473363543128468,6602.965640998318
2022-09-01,1.4447480239313255,10469.881012909804
2022-10-01,1.5371836014238383,11852.47405722359
2022-11-01,2.519059323433357,31829.829932882232
2022-12-01,1.6484000110741717,13629.588544090797
