target_month,rmse,sse
2022-01-01,1.835668860365801,16902.315707222057
2022-02-01,1.8838154280571409,17800.58300400232
2022-03-01,2.6029225862878955,33984.43324688166
2022-04-01,1.8668305779341228,17481.042936056612
2022-05-01,1.704753014213903,14577.413122788479
2022-06-01,1.8325597752711082,16845.10905498754
2022-07-01,1.4174090766817795,10077.38722915003
2022-08-01,1.1692129093598493,6857.167078307237
2022-09-01,1.4740728042089508,10899.219410655933
2022-10-01,1.5036874676869176,11341.557218401134
2022-11-01,2.4998663963985273,31346.64931121028
2022-12-01,1.6778417440907165,14120.8070377583
