lat,lon,rmse,sse
1.0,-48.0,8.253930599769426,817.5284441497208
7.0,-82.0,8.233659088113686,813.5177037513253
3.0,-77.0,8.18743198547744,804.4085102018289
1.0,-49.0,8.174717891593156,801.9121512855992
3.0,-78.0,7.827507904998758,735.2385600338166
9.0,-84.0,7.503316736418929,675.5971445642929
7.0,-78.0,7.3241098148416075,643.71101495831
0.0,-48.0,7.276358860920127,635.3447792746902
4.0,-77.0,7.249261084031702,630.621435173478
0.0,-49.0,7.043196400232738,595.2793863870166
0.0,-50.0,6.8853508383212265,568.8966740012497
-2.0,-79.0,6.621079151047716,526.0642694932649
1.0,-50.0,6.595630305315088,522.0280694926895
1.0,-47.0,6.572020982223397,518.297517489415
-13.0,-71.0,6.522755091617999,510.55600782274223
1.0,-45.0,6.443745760616833,498.2623131296089
3.0,-79.0,6.379103796086886,488.3155828950014
6.0,-90.0,6.309860499372855,477.7720742585503
6.0,-77.0,6.302455620770522,476.65136222138335
6.0,-78.0,6.2737009657059835,472.31188568520224
2.0,-46.0,6.2423888069637234,467.6090162076718
0.0,-41.0,6.237424357090758,466.86555132514854
2.0,-45.0,6.213395026132227,463.27533300917634
5.0,-53.0,6.209713460919429,462.72649520068745
8.0,-84.0,6.19004781612749,459.80030359133644
6.0,-89.0,6.155348144210132,454.6597293171734
4.0,-28.0,6.060676038184802,440.7815284779291
6.0,-41.0,6.031812853777727,436.5931956359785
-19.0,-37.0,5.880343008629265,414.94120678962094
0.0,-42.0,5.878046259615486,414.61713396215526
1.0,-46.0,5.847833576005,410.36589039181706
-1.0,-48.0,5.799556759895769,403.61830333503264
6.0,-40.0,5.788337604807846,402.0582267267915
7.0,-77.0,5.747616554651026,396.4211527115824
0.0,-40.0,5.728505300037805,393.7892756707346
2.0,-48.0,5.653915392107992,383.601111133388
-18.0,-37.0,5.64750900176811,382.7322951006221
6.0,-43.0,5.584488028207966,374.2380784463772
6.0,-42.0,5.567084323007075,371.9091343136536
1.0,-40.0,5.538832711057601,368.1440136129804
5.0,-28.0,5.525699042508601,366.40019890056567
5.0,-32.0,5.499614284234547,362.94908730428006
7.0,-83.0,5.495718809824353,362.4351028398863
5.0,-52.0,5.490373917628609,361.7304690645182
7.0,-84.0,5.451969139472526,356.6876099731296
5.0,-27.0,5.437999451323178,354.8620563910943
-20.0,-38.0,5.366144803774381,345.54612066089743
6.0,-44.0,5.312120462537812,338.6234857021552
0.0,-51.0,5.309036048170209,338.23036512924904
-19.0,-38.0,5.237702597827521,329.20234203946995
1.0,-29.0,5.166565406646058,320.320777213821
4.0,-88.0,5.141896368565545,317.26917918081045
0.0,-47.0,5.126562760844873,315.37974889057693
0.0,-46.0,5.087644141845914,310.6094749687086
5.0,-29.0,5.0587402976806946,307.0902407925428
-1.0,-41.0,5.058410762246283,307.05023327530836
8.0,-83.0,5.049325584902501,305.94826634821186
8.0,-85.0,5.026376805771875,303.17356552321775
3.0,-29.0,4.956204331679624,294.7675365283184
1.0,-28.0,4.903953230809962,288.5850874796576
-2.0,-52.0,4.903841469254945,288.57193386701397
5.0,-31.0,4.891241428092412,287.09091249465
5.0,-78.0,4.88692244635803,286.5841319606154
6.0,-79.0,4.86319982000214,283.8085498712261
4.0,-55.0,4.822532131583061,279.08179392181273
-1.0,-42.0,4.8130841340094985,277.98934657264755
2.0,-79.0,4.8033036680522265,276.86071353028774
-1.0,-40.0,4.755481114221593,271.3752075326189
2.0,-49.0,4.74041878164399,269.6588427043572
-1.0,-32.0,4.6881697395493385,263.74722608191337
2.0,-36.0,4.664099153051563,261.0458509139557
-21.0,-39.0,4.64642584527432,259.07127762759814
0.0,-26.0,4.638542046403275,258.192867795013
-21.0,-38.0,4.637444718517366,258.0707222076553
-17.0,-66.0,4.62038474680294,256.17546250187115
-2.0,-39.0,4.614261264443871,255.4968841985658
1.0,-41.0,4.612763092802755,255.33100020387883
1.0,-44.0,4.596025356079803,253.4813888847418
2.0,-50.0,4.583847844594928,252.13993274877078
7.0,-81.0,4.565382125372355,250.11256740803276
8.0,-36.0,4.561441421800174,249.68097413417263
5.0,-25.0,4.559596372550066,249.4790289668607
4.0,-31.0,4.5434370791470515,247.71384590601951
3.0,-75.0,4.527815675559336,246.01337750209018
5.0,-77.0,4.519068740379511,245.06378736330316
-20.0,-39.0,4.509843943617844,244.06430874943857
2.0,-47.0,4.502050047661481,243.22145557978484
5.0,-84.0,4.498327454887638,242.8193986967508
4.0,-56.0,4.4883690303438275,241.74547863059513
-17.0,-37.0,4.470843057394656,239.86125172624787
4.0,-78.0,4.470202554010381,239.7925304865712
6.0,-87.0,4.468888408260982,239.65156326587254
8.0,-31.0,4.453191370838558,237.97096062373197
9.0,-83.0,4.44748292100073,237.36125199111825
5.0,-42.0,4.442361046967343,236.8148600593534
5.0,-30.0,4.418884591240577,234.31849236844073
7.0,-47.0,4.417239313494692,234.14403783219672
9.0,-86.0,4.40646238551264,233.00292905925292
-20.0,-37.0,4.371933863976143,229.36566853177644
-1.0,-45.0,4.3713976531754755,229.30940930625667
0.0,-43.0,4.366203761898389,228.76482348498777
-1.0,-49.0,4.36282762152796,228.4111782620078
-1.0,-47.0,4.353135089914399,227.39742133252844
1.0,-51.0,4.348111585450235,226.87289231431873
7.0,-44.0,4.343336486232609,226.3748619916731
1.0,-78.0,4.338815299780181,225.90381846727905
5.0,-33.0,4.337561942290416,225.77332323847452
5.0,-54.0,4.3271195651992,224.68756477835655
7.0,-72.0,4.308271415760672,222.73443110232557
10.0,-83.0,4.306890430919964,222.5916622073994
-2.0,-40.0,4.305562496775687,222.45442096369547
7.0,-32.0,4.297801533535962,221.6531762599688
1.0,-37.0,4.2867025306011985,220.5098230303526
-44.0,-73.0,4.28357475583452,220.1881522658732
5.0,-61.0,4.282143815232335,220.04106785199042
1.0,-38.0,4.277034876939264,219.51632806265837
-12.0,-74.0,4.274489991711252,219.2551762708759
1.0,-55.0,4.269260545413995,218.7190272555432
11.0,-86.0,4.269158006174265,218.7085209801819
8.0,-82.0,4.262262135643878,218.0025421553222
8.0,-37.0,4.242951885737381,216.03168845618876
-1.0,-51.0,4.240524461779325,215.78457253138595
5.0,-88.0,4.208561100188731,212.5438384082613
