target_month,rmse,sse
2015-01-01,2.2223344459089813,6193.218068399869
2015-02-01,1.4890810408871311,2780.5723822971954
2015-03-01,1.616284293278362,3275.918145539711
2015-04-01,1.63295262919634,3343.833998655847
2015-05-01,1.9179450765652861,4612.855699168161
2015-06-01,1.618622760341122,3285.4043089290694
2015-07-01,1.8372767823775527,4232.984812729771
2015-08-01,1.6381685693659942,3365.22971211992
2015-09-01,1.5519744628791696,3020.4154157200755
2015-10-01,1.5476336850043841,3003.5432087921527
2015-11-01,1.588280009303448,3163.382268493013
2015-12-01,2.1327451645079867,5703.946828662178
2016-01-01,2.4482719984573094,7516.520866151404
2016-02-01,1.8045679206089256,4083.60758663389
2016-03-01,2.0771672676122943,5410.5383174804665
2016-04-01,2.200241741710766,6070.693907345896
2016-05-01,1.9909241783691276,4970.578971354541
