lat,lon,rmse,sse
3.0,-77.0,9.466048403989918,1075.2728686401606
-2.0,-79.0,9.035304544514965,979.6407385455932
7.0,-82.0,8.370517407646648,840.7867400605867
1.0,-48.0,8.215121881799504,809.8587303938525
1.0,-49.0,8.204577277473533,807.7810596244199
9.0,-84.0,7.782461970797671,726.8005719229437
3.0,-78.0,7.76744125036715,723.9977229348624
4.0,-77.0,7.369481650118408,651.7111174971833
7.0,-78.0,7.218265071942092,625.2402077858301
0.0,-48.0,6.97425475310501,583.6827523344939
0.0,-49.0,6.827195630504535,559.3272021261627
6.0,-90.0,6.547744611161422,514.4755139159213
1.0,-47.0,6.493001691159116,505.9088515367417
-13.0,-71.0,6.460589693350914,500.8706302299847
1.0,-50.0,6.339077017726505,482.2067692400204
6.0,-78.0,6.335587992332942,481.6761025031203
5.0,-53.0,6.280495416714914,473.3354721525245
3.0,-79.0,6.261045870847487,470.40834476227633
6.0,-77.0,6.245877030213234,468.1317585185434
0.0,-50.0,6.233501694531315,466.27852050869734
4.0,-28.0,6.123882497642725,450.02324213921884
8.0,-84.0,6.109286318685497,447.8805518841335
2.0,-46.0,6.011317948935155,433.63132179827954
1.0,-45.0,5.998616060511695,431.8007356971462
7.0,-77.0,5.9755830424757885,428.49111237029047
2.0,-45.0,5.972613121994872,428.06529006030394
6.0,-89.0,5.942452170595625,423.7528535977998
0.0,-41.0,5.916140042850277,420.00855607939764
2.0,-48.0,5.915693165525221,419.94510754370174
6.0,-41.0,5.780068708733094,400.9103313321055
-19.0,-37.0,5.779311958652227,400.80536058504765
0.0,-42.0,5.763187022279884,398.57189584530335
5.0,-28.0,5.7149762415755765,391.9314413012796
6.0,-40.0,5.669690187339209,385.7446418449262
5.0,-32.0,5.613684991785322,378.16151024394924
5.0,-52.0,5.541507661384389,368.49968593418254
1.0,-46.0,5.5168647386309155,365.22955853218986
5.0,-78.0,5.509316109745635,364.2307679652333
5.0,-27.0,5.470325545475849,359.0935388818278
-18.0,-37.0,5.413012549216236,351.6084582956695
7.0,-83.0,5.377286601138945,346.9825342894611
4.0,-78.0,5.3533427063034855,343.8993375735927
-19.0,-38.0,5.346283929232506,342.9930222236372
-1.0,-48.0,5.321819060582458,339.86109736294503
0.0,-40.0,5.296009553962092,336.5726063478931
-20.0,-38.0,5.295769926985515,336.54214943477007
7.0,-84.0,5.290727580539721,335.90157997780426
6.0,-42.0,5.279636003530549,334.4946759573123
5.0,-31.0,5.246685743184913,330.33253545287783
3.0,-29.0,5.232671508562858,328.570213398306
5.0,-29.0,5.227828122586393,327.9622425516621
6.0,-43.0,5.2094482761443075,325.66021610187477
6.0,-79.0,5.134451751214113,316.351137426548
1.0,-40.0,5.0091051353265845,301.09361108106197
6.0,-87.0,4.920960611544178,290.590240084431
6.0,-44.0,4.919014114874721,290.3603983480408
1.0,-28.0,4.917830951122899,290.2207351658683
1.0,-29.0,4.894995261757563,287.53174335154796
0.0,-51.0,4.818015712411561,278.55930486053614
-1.0,-32.0,4.804766581903224,277.0293828788879
-1.0,-41.0,4.724167686702791,267.8131239850416
4.0,-88.0,4.722231121383826,267.59360116519144
1.0,-78.0,4.7055115881589975,265.7020716755833
-21.0,-39.0,4.6744846386501,262.2096796437091
8.0,-83.0,4.673675083834136,262.11886547102426
2.0,-49.0,4.672839761710512,262.0251772634731
3.0,-34.0,4.6683576197606085,261.52275439172325
4.0,-31.0,4.667878859415965,261.4691165541899
4.0,-55.0,4.6677470164699395,261.45434651716823
-21.0,-38.0,4.659441872176726,260.52478272232497
0.0,-47.0,4.64437420216431,258.84254075675244
-20.0,-39.0,4.639821440422058,258.3353159880027
8.0,-85.0,4.639577630918887,258.30816711987495
5.0,-30.0,4.631797741462009,257.4426038137508
0.0,-26.0,4.627161210629796,256.927450429884
7.0,-79.0,4.604961075282201,254.46799805837048
2.0,-78.0,4.531022165177552,246.36194233596325
-1.0,-42.0,4.52179567108254,245.35963309224957
3.0,-75.0,4.519382581256585,245.09782698918525
5.0,-88.0,4.5041860917693,243.45230819145604
9.0,-86.0,4.500998546314187,243.10785496706904
11.0,-86.0,4.48501708215077,241.38453872621045
2.0,-77.0,4.47793570619014,240.62289826527103
8.0,-36.0,4.473830086861845,240.18186775332316
4.0,-33.0,4.456819592562848,238.35889056782486
0.0,-46.0,4.439133601984862,236.47088563525313
3.0,-32.0,4.426974925607335,235.17728390347287
8.0,-31.0,4.422933688081921,234.74810891003926
2.0,-36.0,4.420298237509186,234.46843810232184
2.0,-47.0,4.418464537964648,234.27394647901386
1.0,-79.0,4.417011011366623,234.11983529440795
4.0,-56.0,4.409127459409873,233.2848594398659
2.0,-79.0,4.405687447321865,232.92098260187345
6.0,-85.0,4.397972683613357,232.10596470971132
8.0,-86.0,4.396356694153069,231.93542618669403
5.0,-54.0,4.38516147448842,230.7556938880495
4.0,-32.0,4.371744505512634,229.3458002577588
-2.0,-39.0,4.361689092087563,228.29198083242747
7.0,-81.0,4.350879311356717,227.16180938390283
-12.0,-74.0,4.350356167075903,227.10718536498405
-17.0,-37.0,4.348964504802353,226.96190716836932
6.0,-88.0,4.345789296431823,226.63061530777674
6.0,-80.0,4.33503524828009,225.5103672459699
6.0,-54.0,4.334937004862731,225.50014603353918
5.0,-25.0,4.33363338013193,225.3645392807244
4.0,-27.0,4.308448373671998,222.7527286631626
8.0,-37.0,4.306948196299273,222.5976331872667
-2.0,-52.0,4.298364556597273,221.71125433694004
-17.0,-66.0,4.297994947490191,221.67312682381453
-1.0,-40.0,4.295020297153577,221.36639223553445
6.0,-81.0,4.289495879333354,220.79729878581395
-2.0,-40.0,4.267490967124585,218.53774985387912
-20.0,-37.0,4.259089059018027,217.6780753517648
2.0,-50.0,4.255713759792677,217.3331952634646
1.0,-41.0,4.249926316197149,216.7424843172608
5.0,-33.0,4.238285163320416,215.5567335074636
9.0,-82.0,4.235941512287192,215.31840594621485
-1.0,-49.0,4.229715898806475,214.6859590153952
8.0,-82.0,4.220461223822769,213.74751530149894
1.0,-51.0,4.21630401970692,213.32663503916075
6.0,-39.0,4.208965309704878,212.58466773958898
4.0,-34.0,4.20835321857719,212.5228417477079
3.0,-27.0,4.190393671630915,210.71278947893302
4.0,-85.0,4.175593904831098,209.2270134967514
1.0,-44.0,4.171056549511879,208.7725528707113
5.0,-84.0,4.163567204951276,208.02350244174937
1.0,-55.0,4.1625191664999255,207.91878973775079
2.0,-35.0,4.1550066273091115,207.1689608757917
6.0,-82.0,4.154912256781159,207.15955033860365
0.0,-33.0,4.145803861310481,206.2522758774827
5.0,-61.0,4.131752955788154,204.85658985196977
7.0,-47.0,4.129491707768201,204.632421174316
9.0,-85.0,4.122751268397989,203.96493625292675
