lon,rmse
-90.0,1.6387840628474108
-88.0,1.5764733703442575
-86.0,1.449717212247811
-84.0,1.3944877573206667
-82.0,1.3482976374995006
-80.0,1.5252457529864623
-78.0,1.8646585138082832
-76.0,1.2416573661899428
-74.0,1.6937353445318173
-72.0,1.7302476275517278
-70.0,1.216455945194456
-68.0,1.4329851761423953
-66.0,1.5239038478670204
-64.0,1.595743200440257
-62.0,1.7189105075766118
-60.0,1.7146308335896632
-58.0,1.7622590310459454
-56.0,1.9382817285305631
-54.0,1.9354373863264818
-52.0,1.9580809137006343
-50.0,2.113454397606881
-48.0,2.1271772019145208
-46.0,2.0364083075184154
-44.0,1.987739400851239
-42.0,2.2328980032271164
-40.0,2.230313801773287
-38.0,1.9899786981554872
-36.0,2.0583680504004063
-34.0,1.8653415001927354
-32.0,1.8527408737356135
-30.0,1.5632408514280136
-28.0,1.7177285829404247
-26.0,1.6940279709344466
