lon,rmse
-90.0,1.599665221562163
-89.0,1.4887104896492944
-88.0,1.5024069002525642
-87.0,1.4525150898845307
-86.0,1.5712912422134537
-85.0,1.5089272588699882
-84.0,1.758151458156161
-83.0,1.4720624328639536
-82.0,1.5679392320070709
-81.0,1.3025800239526097
-80.0,1.4498191880129119
-79.0,2.0475270927085254
-78.0,2.148342031567665
-77.0,2.1832569453761184
-76.0,1.252230568306611
-75.0,1.5001359936279002
-74.0,1.6785146144687786
-73.0,1.6971444335607702
-72.0,1.7337635275309848
-71.0,1.6195586728490838
-70.0,1.2458023098954387
-69.0,1.2990347395808504
-68.0,1.4297183211361204
-67.0,1.4461831469149333
-66.0,1.619142145774979
-65.0,1.6186746944754307
-64.0,1.5913087292226884
-63.0,1.5723188235739556
-62.0,1.7111107575346904
-61.0,1.7943920041425496
-60.0,1.7160884297053811
-59.0,1.737800339878695
-58.0,1.827559255838233
-57.0,1.9079375336964481
-56.0,1.9569140183984097
-55.0,1.9594826656113442
-54.0,1.997289657840501
-53.0,2.023138157668159
-52.0,2.029610945603009
-51.0,2.0414011883948087
-50.0,2.1403372596469286
-49.0,2.340588612121144
-48.0,2.31290371854921
-47.0,2.110340390902773
-46.0,2.0800337016175683
-45.0,2.0965091972641345
-44.0,2.0213291454401943
-43.0,2.1102536707956236
-42.0,2.228798666529733
-41.0,2.191178567471163
-40.0,2.2363917239522833
-39.0,2.224370932154749
-38.0,2.1176246039265503
-37.0,2.2199000168993037
-36.0,2.142331155644033
-35.0,1.9781557889920856
-34.0,1.9312595720714705
-33.0,1.8954048930986005
-32.0,1.9877539667830297
-31.0,1.882254728787242
-30.0,1.7227772843409888
-29.0,1.773195227936187
-28.0,1.8026967285169322
-27.0,1.6842222062828498
-26.0,1.6491032355341302
-25.0,1.5433593301295592
