lat,rmse
-60.0,0.4625114097546709
-59.0,0.4927696632452101
-58.0,0.5506351291263163
-57.0,0.5889365305464324
-56.0,0.6652491697650967
-55.0,0.7159744909301474
-54.0,0.6819602290199462
-53.0,0.7472960068448188
-52.0,0.7650547796400805
-51.0,0.8956249916351614
-50.0,0.9686677726823046
-49.0,0.955181813361193
-48.0,0.9657230235648666
-47.0,0.9689914347380795
-46.0,0.98565226104414
-45.0,1.0183812063760413
-44.0,1.076313865068863
-43.0,1.0857438429519881
-42.0,1.2164489880857527
-41.0,1.252932849911959
-40.0,1.288112272643154
-39.0,1.4516339156970453
-38.0,1.368024852986799
-37.0,1.3225985157924398
-36.0,1.2735928404592443
-35.0,1.2628678263216686
-34.0,1.258406381113016
-33.0,1.3712745468851588
-32.0,1.3928020448960265
-31.0,1.4769899045777912
-30.0,1.5327887505694804
-29.0,1.690036958442906
-28.0,1.773690299300345
-27.0,1.7884006467426712
-26.0,1.7351875300493067
-25.0,1.7282506542252423
-24.0,1.6578423600449188
-23.0,1.6268400974126014
-22.0,1.5473330841456656
-21.0,1.6587124791076624
-20.0,1.8136079381760715
-19.0,1.8500595459352909
-18.0,1.7601724569234891
-17.0,1.792516582631643
-16.0,1.7448580411501595
-15.0,1.7757775351313652
-14.0,1.7405791696250834
-13.0,1.9982249593237706
-12.0,1.7488614521304013
-11.0,1.5894882776023165
-10.0,1.5684510350184417
-9.0,1.6472570122511085
-8.0,1.679705704549451
-7.0,1.6717576192851307
-6.0,1.6971202761865207
-5.0,1.8266459195018263
-4.0,1.99318950304542
-3.0,2.252219832260017
-2.0,3.045867928846237
-1.0,3.1352522926357325
0.0,3.358847147045887
1.0,3.7288743643244904
2.0,3.2428677667654817
3.0,3.4610734213683583
4.0,3.4756710438075897
5.0,3.716178506703745
6.0,3.736358549689268
7.0,3.5029357919800503
8.0,2.886553987187095
9.0,2.8288924947252903
10.0,2.493541702953785
11.0,2.0198039353450197
12.0,1.5668727621960763
13.0,1.4745428051445038
14.0,1.2477588829801889
15.0,1.0573616991115868
